name,demand_mwh,unserved_mwh,unserved_fraction
Dongola,16800.0,0.0,0.0
Merowe,7560.000000000002,0.0,0.0
Atbara,28560.000000000004,0.0,0.0
PortSudan,40320.0,0.0,0.0
Khartoum,25200.0,0.0,0.0
WadMedani,13440.0,0.0,0.0
Kosti,21840.000000000004,0.0,0.0
Sennar,15120.000000000004,0.0,0.0
Roseires,10080.0,0.0,0.0
Gedaref,22680.0,0.0,0.0
Kassala,16800.0,0.0,0.0
ElObeid,7560.000000000002,0.0,0.0
ElFasher,2520.0,2520.0,1.0
Nyala,1680.0,840.0000000000001,0.5000000000000001
ElGeneina,1344.0,504.00000000000017,0.3750000000000001
Kadugli,1008.0,336.0000000000001,0.3333333333333334
EnNahud,1008.0,302.4000000000001,0.3000000000000001
EdDaein,1008.0,378.0000000000001,0.3750000000000001
Zalingei,504.0,285.6,0.5666666666666668
